seq_ids	strain_ids
2021-MIN-0153	OLC2522
2023-MINS-0014	OLC2660
2023-MINS-0013	OLC3222
2022-MINS-0053	OLC3299
2021-MIN-0250	OLC3374
2022-MINS-0054	OLC3405
2022-MINS-0056	OLC3483
2022-MINS-0071	OLC3602
2017-PAC-0024	OLF14112-1
2017-PAC-0030	OLF15049
2017-PAC-0037	OLF16013-10
2017-PAC-0045	OLF16115
16-9255	OLF17060
2018-SEQ-0375	OLF18070
2022-MINS-0055	OLC3464
2014-SEQ-1305	OLF09014
2015-SEQ-0037	OLF10122-2
2016-SEQ-0129	OLF16042-1
2017-MER-0052	OLF17042
2017-MER-0187	OLC1328
2017-MER-0214	OLF17035-1
2018-SEQ-1392	OLF18185-1
2023-MINS-0009	OLF12068-1
2023-MINS-0010	OLF13124
2023-MINS-0011	OLF11057-1
2017-MER-0367	OLC1000
2017-MER-0362	OLC0994
2021-MIN-0140	OLC0459
2021-MIN-0141	OLC0461
2021-MIN-0142	OLC0462
2021-MIN-0143	OLC0463
2021-MINS-0144	OLC0807
2021-MINS-0145	OLC0816
2021-MINS-0146	OLC0820
2021-MINS-0199	OLC1019
2022-MIN-0030	OLC1268
2022-MIN-0032	OLC2135
2022-MINS-0052	OLC1004
2021-MIN-0124	OLC0715
2021-MIN-0125	OLC0716
2021-MIN-0126	OLC0717
2021-MIN-0127	OLC0718
2022-MIN-0030	OLC1268
2022-MIN-0032	OLC2135
2022-MIN-0001	OLC1115
2022-MIN-0002	OLC1116
2022-MIN-0003	OLC1128
2022-MIN-0004	OLC1251
2022-MIN-0005	OLC1252
2022-MIN-0006	OLC1256
2022-MIN-0023	OLC1257
2022-MIN-0024	OLC1258
2022-MIN-0025	OLC1261
2022-MIN-0026	OLC1262
2022-MIN-0027	OLC1263
2022-MIN-0028	OLC1265
2022-MIN-0048	OLC1264
2022-MIN-0068	OLC0797
2022-MIN-0069	OLC0803
2022-MINS-0052	OLC1004
2021-MIN-0124	OLC0715
2021-MIN-0125	OLC0716
2021-MIN-0126	OLC0717
2021-MIN-0127	OLC0718
2022-MIN-0001	OLC1115
2022-MIN-0002	OLC1116
2022-MIN-0003	OLC1128
2022-MIN-0004	OLC1251
2022-MIN-0005	OLC1252
2022-MIN-0006	OLC1256
2022-MIN-0023	OLC1257
2022-MIN-0024	OLC1258
2022-MIN-0025	OLC1261
2022-MIN-0026	OLC1262
2022-MIN-0027	OLC1263
2022-MIN-0028	OLC1265
2022-MIN-0048	OLC1264
2022-MIN-0068	OLC0797
2022-MIN-0069	OLC0803
2021-MINS-0124	OLC0715
2021-MINS-0125	OLC0716
2021-MINS-0126	OLC0717
2021-MINS-0127	OLC0718
2022-MINS-0001	OLC1115
2022-MINS-0002	OLC1116
2022-MINS-0003	OLC1128
2022-MINS-0004	OLC1251
2022-MINS-0005	OLC1252
2022-MINS-0006	OLC1256
2022-MINS-0023	OLC1257
2022-MINS-0024	OLC1258
2022-MINS-0025	OLC1261
2022-MINS-0026	OLC1262
2022-MINS-0027	OLC1263
2022-MINS-0028	OLC1265
2022-MINS-0048	OLC1264
2022-MINS-0068	OLC0797
2022-MINS-0069	OLC0803
